sample_index,pm25_pred,pm25_claimed,aqi_pred,aqi_claimed,category_pred,category_claimed,h1_number_match,h2_aqi_match,h3_category_ok,h4_feature_ok,h5_range_ok,h6_confidence_low,fabricated_features,out_of_range_values,avg_logprob,is_hallucination,notes
46,39.46782302856445,39.4678,111,111,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,True,True,True,True,False,[],[],-0.09240196597998712,False,
47,38.11939239501953,38.1194,107,107,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,True,True,True,True,False,[],[],-0.07348532402621848,False,
48,44.817039489746094,44.817,124,124,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,True,True,True,True,False,[],[],-0.061980817557834994,False,
49,44.7586784362793,44.7587,124,124,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,True,True,True,True,False,[],[],-0.08420172050385408,False,
50,47.302650451660156,47.3027,130,130,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,True,True,True,True,False,[],[],-0.09156598134764603,False,
51,39.35163497924805,39.3516,110,110,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,True,True,True,True,False,[],[],-0.13121670126452928,False,
52,41.195594787597656,41.1956,115,115,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,True,True,True,True,False,[],[],-0.08449641264911391,False,
53,26.490488052368164,26.4905,81,81,Moderate,Moderate,True,True,True,True,True,False,[],[],-0.02352339207616627,False,
54,31.131593704223633,31.1316,91,91,Moderate,Moderate,True,True,True,True,True,False,[],[],-0.0479660892281039,False,
55,34.177974700927734,34.178,97,97,Moderate,Moderate,True,True,True,True,True,False,[],[],-0.021873787231743335,False,
56,30.59626579284668,30.5963,90,90,Moderate,Moderate,True,True,True,True,True,False,[],[],-0.07323432820183891,False,
57,26.039831161499023,26.0398,80,80,Moderate,Moderate,True,True,True,True,True,False,[],[],-0.05913827400053701,False,
58,33.645050048828125,33.6451,96,96,Moderate,Moderate,True,True,True,True,True,False,[],[],-0.06396296113315555,False,
59,38.833213806152344,38.8332,109,109,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,True,True,True,True,False,[],[],-0.08660598604147099,False,
60,51.159881591796875,51.1599,140,140,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,True,True,True,True,False,[],[],-0.08715494330330141,False,
61,50.1719856262207,50.172,137,137,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,True,True,True,True,False,[],[],-0.03977550989948213,False,
62,53.326229095458984,53.3262,145,145,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,True,True,True,True,False,[],[],-0.06051004696036539,False,
63,72.30945587158203,72.3095,160,160,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.027836945058928954,False,
64,57.41994857788086,57.4199,152,152,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.004905163816043309,False,
65,109.04056549072266,109.0406,179,179,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.026217253843568405,False,
66,78.93762969970703,78.9376,163,163,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.09177683600297211,False,
67,83.97897338867188,83.979,166,166,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.08529787922376081,False,
68,90.52897644042969,90.529,169,169,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.09912351572087832,False,
69,74.17339324951172,74.1734,161,161,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.03968902178313754,False,
70,77.1624984741211,77.1625,162,162,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.013303106810365404,False,
71,75.10530853271484,75.1053,161,161,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.021355224667855027,False,
72,80.309326171875,80.3093,164,164,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.026411812752485275,False,
73,86.4655532836914,86.4656,167,167,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.07908289597815826,False,
74,95.70957946777344,95.7096,172,172,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.10076448954641819,False,
75,101.0804672241211,101.0805,175,175,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.057465732230671814,False,
76,135.93832397460938,135.9383,193,193,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.0401805667773537,False,
77,153.40830993652344,153.4083,204,204,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.06845433504685111,False,
78,172.12954711914062,172.1295,222,222,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.09100966508451261,False,
79,173.9628448486328,173.9628,224,224,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.12004729677907756,False,
80,171.85118103027344,171.8512,222,222,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.07084308236332262,False,
81,210.81072998046875,210.8107,261,261,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.06653527097731102,False,
82,214.0954132080078,214.0954,264,264,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.0761234871701363,False,
83,218.03338623046875,218.0334,268,268,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.07062025533782111,False,
84,203.79139709472656,203.7914,254,254,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.09971266790782496,False,
85,218.2291717529297,218.2292,268,268,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.038026275177454126,False,
86,213.8231201171875,213.8231,264,264,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.08483118685038109,False,
87,210.3189239501953,210.3189,260,260,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.08745916761936398,False,
88,194.2036895751953,194.2037,244,244,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.10213223975151778,False,
89,218.9228973388672,218.9229,269,269,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.07086208711067836,False,
90,179.72596740722656,179.726,230,230,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.08701412496359452,False,
91,176.8947296142578,176.8947,227,227,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.08145499592242034,False,
92,170.3488311767578,170.3488,221,221,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.10101788466175397,False,
93,173.86683654785156,173.8668,224,224,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.08472065553684865,False,
94,180.32456970214844,180.3246,231,231,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.06205671587411095,False,
95,146.82833862304688,146.8283,198,198,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.009586912562262337,False,
96,149.822021484375,149.822,200,200,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.012833269842720907,False,
97,134.5382080078125,134.5382,192,192,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.007449341762178349,False,
98,104.32341003417969,104.3234,176,176,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.07277976549588717,False,
99,147.7926025390625,147.7926,199,199,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.04177813199551209,False,
